#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Arrhenius&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <b>acids </b>are compounds that dissociate in solution to form an excess of H<sup>+</sup> protons."	"<span class=""cloze"" data-ordinal=""1""><b>Arrhenius</b></span> <b>acids </b>are compounds that dissociate in solution to form an excess of H<sup>+</sup> protons.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- This is the most restrictive definition of an acid, and it only works in aqueous solutions.</div>-&nbsp;<b>Arrhenius bases</b> in contrast form an excess of <b>OH</b><sup>-</sup> in solution.</div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Arrhenius&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <b>bases&nbsp;</b>are compounds that dissociate in solution to form an excess of OH<sup>-</sup> ions."	"<span class=""cloze"" data-ordinal=""1""><b>Arrhenius</b></span> <b>bases&nbsp;</b>are compounds that dissociate in solution to form an excess of OH<sup>-</sup> ions.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- This is the most restrictive definition of a base, and it only works in aqueous solutions<br></div>-&nbsp;<b>Arrhenius acids</b>&nbsp;in contrast form an excess of <b>H<sup>+</sup></b>&nbsp;in solution.</div>"
"The <span class=""cloze"" data-cloze=""&lt;b&gt;Lewis&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> definition for acids &amp; bases is the <i>most </i><u>inclusive</u>."	"The <span class=""cloze"" data-ordinal=""1""><b>Lewis</b></span> definition for acids &amp; bases is the <i>most </i><u>inclusive</u>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"In galvanic cells, <span class=""cloze"" data-cloze=""&lt;b&gt;salt&#x20;bridges&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> allow for the current to <i>continue</i> running by <span class=""cloze-inactive"" data-ordinal=""2""><u>neutralizing the charges</u></span> on either side <i>after</i> becoming oxidized/reduced."	"In galvanic cells, <span class=""cloze"" data-ordinal=""1""><b>salt bridges</b></span> allow for the current to <i>continue</i> running by <span class=""cloze-inactive"" data-ordinal=""2""><u>neutralizing the charges</u></span> on either side <i>after</i> becoming oxidized/reduced.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>Anode</b> side slowly accumulates a <u>positive</u> charge (since it's losing electrons) - neutralized by the Cl<sup>-</sup> in the KCl ions in the salt bridge.</div><div>- <b>Cathode</b> side slowly accumulates a <u>negative</u> charge (since it's gaining electrons) - neutralized by the K<sup>+</sup> in the KCl ions in the salt bridge.<br></div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"In galvanic cells, <span class=""cloze-inactive"" data-ordinal=""1""><b>salt bridges</b></span> allow for the current to <i>continue</i> running by <span class=""cloze"" data-cloze=""&lt;u&gt;neutralizing&#x20;the&#x20;charges&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> on either side <i>after</i> becoming oxidized/reduced."	"In galvanic cells, <span class=""cloze-inactive"" data-ordinal=""1""><b>salt bridges</b></span> allow for the current to <i>continue</i> running by <span class=""cloze"" data-ordinal=""2""><u>neutralizing the charges</u></span> on either side <i>after</i> becoming oxidized/reduced.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>Anode</b> side slowly accumulates a <u>positive</u> charge (since it's losing electrons) - neutralized by the Cl<sup>-</sup> in the KCl ions in the salt bridge.</div><div>- <b>Cathode</b> side slowly accumulates a <u>negative</u> charge (since it's gaining electrons) - neutralized by the K<sup>+</sup> in the KCl ions in the salt bridge.<br></div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>In galvanic cells, the <span class=""cloze"" data-cloze=""&lt;b&gt;anode&lt;&#x2F;b&gt;"" data-ordinal=""1"">[anode/cathode]</span> slowly becomes <span class=""cloze-inactive"" data-ordinal=""2""><i>positively</i></span> charged due its oxidation reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze-inactive"" data-ordinal=""2"">Cl<sup>-</sup></span> ions.</div>"	"<div>In galvanic cells, the <span class=""cloze"" data-ordinal=""1""><b>anode</b></span> slowly becomes <span class=""cloze-inactive"" data-ordinal=""2""><i>positively</i></span> charged due its oxidation reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze-inactive"" data-ordinal=""2"">Cl<sup>-</sup></span> ions.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>Anode</b> side slowly accumulates a <u>positive</u> charge (since it's losing electrons) - neutralized by the Cl<sup>-</sup> in the KCl ions in the salt bridge.</div><div>- <b>Cathode</b> side slowly accumulates a <u>negative</u> charge (since it's gaining electrons) - neutralized by the K<sup>+</sup> in the KCl ions in the salt bridge.<br></div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>In galvanic cells, the <span class=""cloze-inactive"" data-ordinal=""1""><b>anode</b></span> slowly becomes <span class=""cloze"" data-cloze=""&lt;i&gt;positively&lt;&#x2F;i&gt;"" data-ordinal=""2"">[+/-]</span> charged due its oxidation reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze"" data-cloze=""Cl&lt;sup&gt;&#x2D;&lt;&#x2F;sup&gt;"" data-ordinal=""2"">[...]</span> ions.</div>"	"<div>In galvanic cells, the <span class=""cloze-inactive"" data-ordinal=""1""><b>anode</b></span> slowly becomes <span class=""cloze"" data-ordinal=""2""><i>positively</i></span> charged due its oxidation reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze"" data-ordinal=""2"">Cl<sup>-</sup></span> ions.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>Anode</b> side slowly accumulates a <u>positive</u> charge (since it's losing electrons) - neutralized by the Cl<sup>-</sup> in the KCl ions in the salt bridge.</div><div>- <b>Cathode</b> side slowly accumulates a <u>negative</u> charge (since it's gaining electrons) - neutralized by the K<sup>+</sup> in the KCl ions in the salt bridge.<br></div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>In galvanic cells, the <span class=""cloze"" data-cloze=""&lt;b&gt;cathode&lt;&#x2F;b&gt;"" data-ordinal=""1"">[anode/cathode]</span> slowly becomes <span class=""cloze-inactive"" data-ordinal=""2""><i>negatively</i></span> charged due its redox reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze-inactive"" data-ordinal=""2"">K<sup>+</sup></span> ions.</div>"	"<div>In galvanic cells, the <span class=""cloze"" data-ordinal=""1""><b>cathode</b></span> slowly becomes <span class=""cloze-inactive"" data-ordinal=""2""><i>negatively</i></span> charged due its redox reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze-inactive"" data-ordinal=""2"">K<sup>+</sup></span> ions.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>Anode</b> side slowly accumulates a <u>positive</u> charge (since it's losing electrons) - neutralized by the Cl<sup>-</sup> in the KCl ions in the salt bridge.</div><div>- <b>Cathode</b> side slowly accumulates a <u>negative</u> charge (since it's gaining electrons) - neutralized by the K<sup>+</sup> in the KCl ions in the salt bridge.<br></div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>In galvanic cells, the <span class=""cloze-inactive"" data-ordinal=""1""><b>cathode</b></span> slowly becomes <span class=""cloze"" data-cloze=""&lt;i&gt;negatively&lt;&#x2F;i&gt;"" data-ordinal=""2"">[+/-]</span> charged due its redox reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze"" data-cloze=""K&lt;sup&gt;&#x2B;&lt;&#x2F;sup&gt;"" data-ordinal=""2"">[...]</span> ions.</div>"	"<div>In galvanic cells, the <span class=""cloze-inactive"" data-ordinal=""1""><b>cathode</b></span> slowly becomes <span class=""cloze"" data-ordinal=""2""><i>negatively</i></span> charged due its redox reactions, which the <u>salt bridge</u> <i>neutralizes</i> with <span class=""cloze"" data-ordinal=""2"">K<sup>+</sup></span> ions.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b>Anode</b> side slowly accumulates a <u>positive</u> charge (since it's losing electrons) - neutralized by the Cl<sup>-</sup> in the KCl ions in the salt bridge.</div><div>- <b>Cathode</b> side slowly accumulates a <u>negative</u> charge (since it's gaining electrons) - neutralized by the K<sup>+</sup> in the KCl ions in the salt bridge.<br></div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"In galvanic cells, <span class=""cloze"" data-cloze=""&lt;b&gt;plating&#x2F;galvanization&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> is when aqueous ions become reduced&nbsp;to <span class=""cloze-inactive"" data-ordinal=""2"">solids</span> on the cathode&nbsp;- causing them to <span class=""cloze-inactive"" data-ordinal=""2""><u>precipitate</u> on the cathode bar</span>."	"In galvanic cells, <span class=""cloze"" data-ordinal=""1""><b>plating/galvanization</b></span> is when aqueous ions become reduced&nbsp;to <span class=""cloze-inactive"" data-ordinal=""2"">solids</span> on the cathode&nbsp;- causing them to <span class=""cloze-inactive"" data-ordinal=""2""><u>precipitate</u> on the cathode bar</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Doesn't happen on the Zinc bar since that's the site of oxidation (ZnSO<sub>4</sub> leads to Zn<sup>2+</sup> instead of causing precipitation).</div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"In galvanic cells, <span class=""cloze-inactive"" data-ordinal=""1""><b>plating/galvanization</b></span> is when aqueous ions become reduced&nbsp;to <span class=""cloze"" data-cloze=""solids"" data-ordinal=""2"">[...]</span> on the cathode&nbsp;- causing them to <span class=""cloze"" data-cloze=""&lt;u&gt;precipitate&lt;&#x2F;u&gt;&#x20;on&#x20;the&#x20;cathode&#x20;bar"" data-ordinal=""2"">[...]</span>."	"In galvanic cells, <span class=""cloze-inactive"" data-ordinal=""1""><b>plating/galvanization</b></span> is when aqueous ions become reduced&nbsp;to <span class=""cloze"" data-ordinal=""2"">solids</span> on the cathode&nbsp;- causing them to <span class=""cloze"" data-ordinal=""2""><u>precipitate</u> on the cathode bar</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Doesn't happen on the Zinc bar since that's the site of oxidation (ZnSO<sub>4</sub> leads to Zn<sup>2+</sup> instead of causing precipitation).</div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>The <b>cell diagram</b> notation for this <u>galvanic cell</u> shows that...</div><div><br></div><div>1M of <span class=""cloze"" data-cloze=""Zn&#x20;&#x28;s&#x29;"" data-ordinal=""1"">[...]</span> is <span class=""cloze-inactive"" data-ordinal=""2""><i>oxidized</i></span> into <span class=""cloze"" data-cloze=""Zn&lt;sup&gt;2&#x2B;&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span></div><div>1M of <span class=""cloze"" data-cloze=""Cu&lt;sup&gt;2&#x2B;&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span> is <span class=""cloze-inactive"" data-ordinal=""2""><i>reduced</i></span> into <span class=""cloze"" data-cloze=""Cu&#x28;s&#x29;"" data-ordinal=""1"">[...]</span><br></div><div><br></div><img src=""2444a8b70a4724299a37fa4ce64ed22c.png"">"	"<div>The <b>cell diagram</b> notation for this <u>galvanic cell</u> shows that...</div><div><br></div><div>1M of <span class=""cloze"" data-ordinal=""1"">Zn (s)</span> is <span class=""cloze-inactive"" data-ordinal=""2""><i>oxidized</i></span> into <span class=""cloze"" data-ordinal=""1"">Zn<sup>2+</sup></span></div><div>1M of <span class=""cloze"" data-ordinal=""1"">Cu<sup>2+</sup></span> is <span class=""cloze-inactive"" data-ordinal=""2""><i>reduced</i></span> into <span class=""cloze"" data-ordinal=""1"">Cu(s)</span><br></div><div><br></div><img src=""2444a8b70a4724299a37fa4ce64ed22c.png"">
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>The <b>cell diagram</b> notation for this <u>galvanic cell</u> shows that...</div><div><br></div><div>1M of <span class=""cloze-inactive"" data-ordinal=""1"">Zn (s)</span> is <span class=""cloze"" data-cloze=""&lt;i&gt;oxidized&lt;&#x2F;i&gt;"" data-ordinal=""2"">[ox./red.]</span> into <span class=""cloze-inactive"" data-ordinal=""1"">Zn<sup>2+</sup></span></div><div>1M of <span class=""cloze-inactive"" data-ordinal=""1"">Cu<sup>2+</sup></span> is <span class=""cloze"" data-cloze=""&lt;i&gt;reduced&lt;&#x2F;i&gt;"" data-ordinal=""2"">[ox./red.]</span> into <span class=""cloze-inactive"" data-ordinal=""1"">Cu(s)</span><br></div><div><br></div><img src=""2444a8b70a4724299a37fa4ce64ed22c.png"">"	"<div>The <b>cell diagram</b> notation for this <u>galvanic cell</u> shows that...</div><div><br></div><div>1M of <span class=""cloze-inactive"" data-ordinal=""1"">Zn (s)</span> is <span class=""cloze"" data-ordinal=""2""><i>oxidized</i></span> into <span class=""cloze-inactive"" data-ordinal=""1"">Zn<sup>2+</sup></span></div><div>1M of <span class=""cloze-inactive"" data-ordinal=""1"">Cu<sup>2+</sup></span> is <span class=""cloze"" data-ordinal=""2""><i>reduced</i></span> into <span class=""cloze-inactive"" data-ordinal=""1"">Cu(s)</span><br></div><div><br></div><img src=""2444a8b70a4724299a37fa4ce64ed22c.png"">
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<div>In <b>cell diagram notation</b> for <u>electrolytic cells</u>, the <span class=""cloze"" data-cloze=""anode"" data-ordinal=""1"">[anode/cathode]</span> is on the <i style="""">left</i> side &amp; the <span class=""cloze"" data-cloze=""cathode"" data-ordinal=""1"">[anode/cathode]</span> is on the <i>right</i> side.</div><div><br></div><img src=""2444a8b70a4724299a37fa4ce64ed22c.png"">"	"<div>In <b>cell diagram notation</b> for <u>electrolytic cells</u>, the <span class=""cloze"" data-ordinal=""1"">anode</span> is on the <i style="""">left</i> side &amp; the <span class=""cloze"" data-ordinal=""1"">cathode</span> is on the <i>right</i> side.</div><div><br></div><img src=""2444a8b70a4724299a37fa4ce64ed22c.png"">
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Example is taken from this galvanic cell.</div><div><br></div><div><img src=""098cf7ba35a1957a943cf3c8c111ff96.png""><br></div><div><br></div><div><img src=""8ebfa5a776631ba0a62e93d2dcfcd66a.png""><br></div><div><br></div><div><img src=""9f5660936ee87c6cdbdff58c42d55525.png""></div></div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Electrolytic&lt;&#x2F;b&gt;"" data-ordinal=""1"">[galvanic/elect.]</span>&nbsp;<b>cells&nbsp;</b>utilize <span class=""cloze-inactive"" data-ordinal=""2""><i>non-spontaneous</i></span> redox reactions using an <i>external</i> <u>emf source</u>&nbsp;to generate electrical activity."	"<span class=""cloze"" data-ordinal=""1""><b>Electrolytic</b></span>&nbsp;<b>cells&nbsp;</b>utilize <span class=""cloze-inactive"" data-ordinal=""2""><i>non-spontaneous</i></span> redox reactions using an <i>external</i> <u>emf source</u>&nbsp;to generate electrical activity.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Emf source drives <b>decomposition reactions</b>&nbsp;(breakdown of a compound into its constituent molecules).</div><div><br></div><div><img src=""77a551346db25005363946de6f1f5bf1.png""><br></div></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Electrolytic</b></span>&nbsp;<b>cells&nbsp;</b>utilize <span class=""cloze"" data-cloze=""&lt;i&gt;non&#x2D;spontaneous&lt;&#x2F;i&gt;"" data-ordinal=""2"">[spont./non-spont.]</span> redox reactions using an <i>external</i> <u>emf source</u>&nbsp;to generate electrical activity."	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Electrolytic</b></span>&nbsp;<b>cells&nbsp;</b>utilize <span class=""cloze"" data-ordinal=""2""><i>non-spontaneous</i></span> redox reactions using an <i>external</i> <u>emf source</u>&nbsp;to generate electrical activity.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Emf source drives <b>decomposition reactions</b>&nbsp;(breakdown of a compound into its constituent molecules).</div><div><br></div><div><img src=""77a551346db25005363946de6f1f5bf1.png""><br></div></div>"
"In <b>electrolytic</b> cells, <span class=""cloze"" data-cloze=""Na&lt;sup&gt;&#x2B;&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;ions from <u>molten NaCl</u> get <i>reduced</i> at the cathode into <span class=""cloze"" data-cloze=""Na&#x20;&#x28;l&#x29;"" data-ordinal=""1"">[...]</span> after accepting electrons from the anode."	"In <b>electrolytic</b> cells, <span class=""cloze"" data-ordinal=""1"">Na<sup>+</sup></span>&nbsp;ions from <u>molten NaCl</u> get <i>reduced</i> at the cathode into <span class=""cloze"" data-ordinal=""1"">Na (l)</span> after accepting electrons from the anode.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Electrolytic cells are non-spontaneous because the decomposition of moltent NaCl would never occur on its own. Forcibly doing this (with a battery) generates electricity (due to the electron transfer).</div><div><br></div><div><img src=""77a551346db25005363946de6f1f5bf1.png""><br></div></div>"
"In <b>electrolytic</b> cells, <span class=""cloze"" data-cloze=""Cl&lt;sup&gt;&#x2D;&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[...]</span>&nbsp;ions from <u>molten NaCl</u> get <i>oxidized</i>&nbsp;at the anode into <span class=""cloze"" data-cloze=""Cl&lt;sub&gt;2&lt;&#x2F;sub&gt;&#x20;&#x28;g&#x29;"" data-ordinal=""1"">[...]</span> after giving up its electrons to the cathode (generating a current)."	"In <b>electrolytic</b> cells, <span class=""cloze"" data-ordinal=""1"">Cl<sup>-</sup></span>&nbsp;ions from <u>molten NaCl</u> get <i>oxidized</i>&nbsp;at the anode into <span class=""cloze"" data-ordinal=""1"">Cl<sub>2</sub> (g)</span> after giving up its electrons to the cathode (generating a current).
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Cl<sub>2</sub> (g) floats away after getting oxidized.</div><div>- Electrolytic cells are non-spontaneous because the decomposition of moltent NaCl would never occur on its own. Forcibly doing this (with a battery) generates electricity (due to the electron transfer).</div><div><br></div><div><img src=""77a551346db25005363946de6f1f5bf1.png""><br></div></div>"
"In thermochemistry, <span class=""cloze"" data-cloze=""&lt;b&gt;standard&#x20;conditions&lt;&#x2F;b&gt;"" data-ordinal=""2"">[STP/standard cond.]</span>&nbsp;are:<div><br></div><div>Pressure = <span class=""cloze-inactive"" data-ordinal=""1"">1 atm</span></div><div>Temperature = <span class=""cloze-inactive"" data-ordinal=""1"">298 K (25°C)</span></div><div>Concentration = <span class=""cloze-inactive"" data-ordinal=""1"">1 M</span></div>"	"In thermochemistry, <span class=""cloze"" data-ordinal=""2""><b>standard conditions</b></span>&nbsp;are:<div><br></div><div>Pressure = <span class=""cloze-inactive"" data-ordinal=""1"">1 atm</span></div><div>Temperature = <span class=""cloze-inactive"" data-ordinal=""1"">298 K (25°C)</span></div><div>Concentration = <span class=""cloze-inactive"" data-ordinal=""1"">1 M</span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

These standard conditions are standardized because the system's final equilibrium will be different depending on what the pressure (P), temperature (T), or concentration of molecules (M) is.</div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;STP&#x20;conditions&lt;&#x2F;b&gt;"" data-ordinal=""2"">[STP/standard cond.]</span>&nbsp;used in the <u>ideal gas law</u>:<div><br></div><div>Pressure = <span class=""cloze-inactive"" data-ordinal=""1"">1 atm</span></div><div>Temperature = <span class=""cloze-inactive"" data-ordinal=""1"">273 K (0°C)</span></div>"	"<span class=""cloze"" data-ordinal=""2""><b>STP conditions</b></span>&nbsp;used in the <u>ideal gas law</u>:<div><br></div><div>Pressure = <span class=""cloze-inactive"" data-ordinal=""1"">1 atm</span></div><div>Temperature = <span class=""cloze-inactive"" data-ordinal=""1"">273 K (0°C)</span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

These STP conditions are standardized because the system's final equilibrium will be different depending on what the pressure or temperature is.</div>"
"<div>In <b>electrolysis</b>, the <span class=""cloze"" data-cloze=""moles&#x20;of&#x20;electrons"" data-ordinal=""1"">[...]</span> in the cell's <span class=""cloze-inactive"" data-ordinal=""2""><u>current</u></span> is <i>equivalent </i>to the <span class=""cloze"" data-cloze=""moles&#x20;of&#x20;electrons"" data-ordinal=""1"">[...]</span> transferred in either <span class=""cloze-inactive"" data-ordinal=""2""><u>half-reaction's redox</u></span> reaction.</div>"	"<div>In <b>electrolysis</b>, the <span class=""cloze"" data-ordinal=""1"">moles of electrons</span> in the cell's <span class=""cloze-inactive"" data-ordinal=""2""><u>current</u></span> is <i>equivalent </i>to the <span class=""cloze"" data-ordinal=""1"">moles of electrons</span> transferred in either <span class=""cloze-inactive"" data-ordinal=""2""><u>half-reaction's redox</u></span> reaction.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b><u>Faraday's first law of electrolysis</u></b>.</div><div>- More of a substance that plates onto the electrode after its redox reaction means there are more electrons flowing through the current.</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"<div>In <b>electrolysis</b>, the <span class=""cloze-inactive"" data-ordinal=""1"">moles of electrons</span> in the cell's <span class=""cloze"" data-cloze=""&lt;u&gt;current&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> is <i>equivalent </i>to the <span class=""cloze-inactive"" data-ordinal=""1"">moles of electrons</span> transferred in either <span class=""cloze"" data-cloze=""&lt;u&gt;half&#x2D;reaction&#x27;s&#x20;redox&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> reaction.</div>"	"<div>In <b>electrolysis</b>, the <span class=""cloze-inactive"" data-ordinal=""1"">moles of electrons</span> in the cell's <span class=""cloze"" data-ordinal=""2""><u>current</u></span> is <i>equivalent </i>to the <span class=""cloze-inactive"" data-ordinal=""1"">moles of electrons</span> transferred in either <span class=""cloze"" data-ordinal=""2""><u>half-reaction's redox</u></span> reaction.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b><u>Faraday's first law of electrolysis</u></b>.</div><div>- More of a substance that plates onto the electrode after its redox reaction means there are more electrons flowing through the current.</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"One <span class=""cloze"" data-cloze=""&lt;b&gt;faraday&#x20;&#x28;F&#x29;&lt;&#x2F;b&gt;"" data-ordinal=""1"">[unit]</span> is the <i>amount </i>of <u>charge</u> in <span class=""cloze-inactive"" data-ordinal=""3"">one <u>mole of electrons</u></span>: <span class=""cloze-inactive"" data-ordinal=""2"">1 x 10<sup>5</sup> C/mol.e<sup>-</sup></span>."	"One <span class=""cloze"" data-ordinal=""1""><b>faraday (F)</b></span> is the <i>amount </i>of <u>charge</u> in <span class=""cloze-inactive"" data-ordinal=""3"">one <u>mole of electrons</u></span>: <span class=""cloze-inactive"" data-ordinal=""2"">1 x 10<sup>5</sup> C/mol.e<sup>-</sup></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b><u>Faraday's constant (F)</u></b></div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.</div><div>- Shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
"One <span class=""cloze-inactive"" data-ordinal=""1""><b>faraday (F)</b></span> is the <i>amount </i>of <u>charge</u> in <span class=""cloze-inactive"" data-ordinal=""3"">one <u>mole of electrons</u></span>: <span class=""cloze"" data-cloze=""1&#x20;x&#x20;10&lt;sup&gt;5&lt;&#x2F;sup&gt;&#x20;C&#x2F;mol&#x2E;e&lt;sup&gt;&#x2D;&lt;&#x2F;sup&gt;"" data-ordinal=""2"">[#]</span>."	"One <span class=""cloze-inactive"" data-ordinal=""1""><b>faraday (F)</b></span> is the <i>amount </i>of <u>charge</u> in <span class=""cloze-inactive"" data-ordinal=""3"">one <u>mole of electrons</u></span>: <span class=""cloze"" data-ordinal=""2"">1 x 10<sup>5</sup> C/mol.e<sup>-</sup></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- <b><u>Faraday's constant (F)</u></b></div><div>- In <u>electrolysis</u>, this is stated as saying the amount of electrons a compound loses after its redox reaction is equivalent to the number of electrons in the current.</div><div>- Shows 'n' moles of electrons are needed to produce 1 mole of M (s).</div><div><br></div><div><img src=""d1cf2dfb0e8f1ca265609fd39be8d96b.png""><br></div><div><br></div><img src=""294e30d032ab1837c1873567f00ce477.png""></div>"
